iso3c,country_name,gdp,composition_food_organic_waste_percent,composition_glass_percent,composition_metal_percent,composition_other_percent,composition_paper_cardboard_percent,composition_plastic_percent,composition_rubber_leather_percent,composition_wood_percent,composition_yard_garden_green_waste_percent,total_msw_total_msw_generated_tons_year
FIN,Finland,252692239709.946,35.88,9.24,1.7,13.13,37.83,1.45,,0.73,,2738000.0
FJI,Fiji,3771168285.97478,33.2,4.1,1.9,3.5,12.5,7.5,0.1,,37.2,189389.594
FRA,France,2806036371233.86,32.0,10.0,3.0,26.0,20.0,9.0,,,,33399000.0
FRO,Faeroe Islands,,,,,,,,,,,61000.0
FSM,"Micronesia, Fed. Sts.",296282643.971121,23.83,7.07,16.73,9.32,13.3,26.17,3.58,,,26039.57
GAB,Gabon,18912467101.0138,,,,,,,,,,238102.31
GBR,United Kingdom,2757620259273.38,16.7,2.2,3.5,28.2,18.9,20.2,,7.6,2.7,31567000.0
GEO,Georgia,15189614350.7215,39.0,3.0,5.0,16.0,34.0,3.0,,,,800000.0
GHA,Ghana,48199090351.9329,67.0,0.0,1.0,25.0,3.0,4.0,,,,3538274.97825
GIB,Gibraltar,,24.57,4.42,4.37,14.38,33.65,15.86,,,,16954.0
GIN,Guinea,9667718426.6828,58.0,1.0,1.0,27.0,9.0,4.0,,,,596911.0
GMB,"Gambia, The",1084318240.80394,35.0,1.9,2.1,51.4,9.7,,,,,193440.54
GNB,Guinea-Bissau,1062488924.5797,,,,,,,,,,289514.0
GNQ,Equatorial Guinea,15045964750.1647,,,,,,,,,,198443.06
GRC,Greece,244480923173.545,40.0,3.0,3.0,9.0,29.0,14.0,2.0,,,5477424.0
GRD,Grenada,931118693.454099,27.1,3.1,2.4,36.5,13.6,16.4,0.9,,,29536.113936927773
GRL,Greenland,2823634003.66281,42.8,7.1,2.0,33.4,11.4,2.4,,1.0,,50000.0
GTM,Guatemala,51421926687.8027,37.7144911834619,4.391835579814286,,18.01847364137028,16.046702153078943,17.290808751009344,,,6.537688691265234,2756740.97135
GUM,Guam,5214914976.43925,27.3,4.6,9.0,8.7,28.5,12.4,3.1,6.4,,141500.0
GUY,Guyana,2925825405.86112,50.1,4.7,4.2,12.099999999999998,10.7,14.2,1.5,2.5,,179251.5
HKG,"Hong Kong SAR, China",270105365069.123,35.0,3.0,2.0,14.0,22.0,21.0,,3.0,,5679816.465
HND,Honduras,19545909275.2757,57.9,1.27,2.11,6.62,17.36,14.41,0.33,,,2162027.69575
HRV,Croatia,61095271083.0161,30.9,3.7,2.1,11.5,23.2,22.9,,,5.7,1654000.0
HTI,Haiti,7911616492.26845,61.3,1.6,2.5,16.80000000000001,4.1,12.7,,1.0,,2309852.45485
HUN,Hungary,147182870839.849,22.5,3.5,1.8,45.9,13.4,13.0,,,,3712000.0
IDN,Indonesia,1037863871681.45,53.8,2.5,1.8,12.9,14.9,14.0,,,,65200000.0
IMN,Isle of Man,,,,,,,,,,,50551.0
IND,India,2466177043270.51,,,,,,,,,,168403239.95
IRL,Ireland,332361374827.626,16.6,8.5,3.7,25.8,25.0,12.4,,1.9,6.1,2692537.0
IRN,"Iran, Islamic Rep.",540581175875.242,72.9,1.9,2.3,5.0,7.3,8.5,1.1,1.3,,17885000.0
IRQ,Iraq,213937533186.719,68.7,2.3,0.98,6.0,9.6,5.29,5.09,0.85,0.93,13140000.0
ISL,Iceland,16434890343.1097,10.0,,,,38.0,9.0,,29.0,14.0,525000.0
ISR,Israel,287807589783.365,34.0,3.0,3.0,16.0,24.0,18.0,,,2.0,5400000.0
ITA,Italy,2080644597198.96,34.4,7.6,4.3,15.4,22.8,11.6,,3.8,,29524000.0
JAM,Jamaica,13801803129.785,62.22,2.81,2.38,5.13,14.73,12.2,,0.53,,1051694.575
JOR,Jordan,30811666897.1124,50.0,2.0,1.5,15.5,15.0,16.0,,,,2529997.0
JPN,Japan,6052671805314.15,36.0,5.0,4.0,6.0,33.0,11.0,1.0,4.0,,43981000.0
KAZ,Kazakhstan,188309161360.735,30.0,5.0,3.0,7.0,25.0,25.0,,2.5,,4659740.0
KEN,Kenya,55409230681.8492,57.0,3.0,1.0,9.0,11.3,18.7,,,,5595099.0
KGZ,Kyrgyz Republic,6346700787.57926,,,,,,,,,,1113300.0
KHM,Cambodia,17009386901.7797,66.6,2.6,2.0,10.4,4.0,8.6,,5.8,,1089000.0
KIR,Kiribati,192869131.339286,43.6,5.5,10.0,9.3,10.9,16.5,4.2,,,35723.8275
KNA,St. Kitts and Nevis,858344680.019234,27.2,8.1,8.8,12.2,20.5,23.2,,,,32892.14
KOR,"Korea, Rep.",1305947523530.33,30.0,2.5,2.6,,41.0,24.3,,,,18218975.0
KWT,Kuwait,142857292393.58,45.0,4.0,2.0,8.0,20.0,20.0,,1.0,1.0,1750000.0
LAO,Lao PDR,11102149874.6903,16.9,9.3,3.7,20.3,2.8,6.1,1.1,38.2,1.2,351900.0
LBN,Lebanon,42911390491.6894,52.5,3.5,5.5,11.0,16.0,11.5,,,,2040000.0
LBR,Liberia,1627046587.60903,,,,,,,,,,564466.7
LBY,Libya,36808842590.9579,70.1,3.1,4.3,3.8,5.5,7.5,,2.5,,2147596.47175
LCA,St. Lucia,1489854701.38327,45.0,7.0,5.0,11.0,10.0,22.0,,,,77616.228
LIE,Liechtenstein,,37.6,5.0,12.5,9.1,30.3,5.4,,,,32382.0
LKA,Sri Lanka,79907042295.2414,62.0,2.0,3.0,13.0,7.0,7.0,,6.0,,2631650.0
LSO,Lesotho,2980616573.37731,,,,,,,,,,73457.0
LTU,Lithuania,45735444769.2075,40.4,8.65,2.75,44.05,10.05,10.15,,0.6,,1300000.0
LUX,Luxembourg,63207264513.4942,30.0,4.0,2.0,27.0,19.0,18.0,,,,356000.0
LVA,Latvia,28871503534.3929,46.7,21.4,2.6,9.7,6.1,7.7,3.6,2.4,,857000.0
MAC,"Macao SAR, China",31920853731.7088,3.1,3.3,1.7,3.1,58.7,7.9,,22.3,,377942.0
MAF,St. Martin (French part),,,,,,,,,,,15479.5
MAR,Morocco,114783961362.676,60.0,2.0,2.5,6.0,9.0,8.0,,,,6852000.0
MCO,Monaco,,,3.0,2.2,,2.2,1.0,,,,46000.0
MDA,Moldova,7354798041.3823,55.0,4.0,3.0,23.0,5.0,10.0,,,,3981200.0
MDG,Madagascar,10356200860.8807,,,,,,,,,,3768759.16
MDV,Maldives,3600398617.55349,24.0,,1.0,1.0,6.0,3.0,,,65.0,211505.78
MEX,Mexico,1259036981370.62,52.4,5.9,3.4,12.1,13.8,10.9,,,,53100000.0
MHL,Marshall Islands,179041793.905222,8.0,2.0,6.0,31.0,11.0,13.0,,,29.0,8614.0
MKD,"Macedonia, FYR",10924716121.9693,29.3,4.1,2.5,19.8,12.8,13.900000000000002,0.9,0.7,16.0,796585.0
MLI,Mali,13421822110.6944,17.5,1.0,3.5,72.5,3.5,2.0,,,,1937354.44
MLT,Malta,11868476821.1921,52.0,6.0,4.0,9.5,18.0,12.0,,,,269000.0
MMR,Myanmar,74469832820.4068,,,,,,,,,,4677306.52914
MNE,Montenegro,4662831375.96385,33.82,8.97,2.9,19.46,13.72,18.42,,2.7,,332000.0
MNG,Mongolia,11825367386.7456,22.7,,,50.1,12.7,14.5,,,,2900000.0
MNP,Northern Mariana Islands,1051785359.80149,43.6,5.5,10.0,9.3,10.9,16.5,4.2,,,32761.4145
MOZ,Mozambique,14846071334.9796,60.0,,,15.0,25.0,,,,,2500000.0
MRT,Mauritania,5574151156.75208,4.8,4.0,4.2,59.7,7.3,20.0,,,,454000.0
MUS,Mauritius,12409842083.119,64.0,2.8,,8.0,13.0,12.4,,,,438000.0
MWI,Malawi,8710223821.78252,,,,,,,,,,1297844.48
MYS,Malaysia,344052342367.514,46.0,3.0,3.0,9.0,14.0,15.0,3.0,7.0,,12982685.0
NAM,Namibia,14950179756.803,,,,,,,,,,256729.0
NCL,New Caledonia,,43.6,5.5,10.0,9.3,10.9,16.5,4.2,,,108157.384
NER,Niger,8106889865.37629,38.0,,1.0,57.0,2.0,2.0,,,,1865645.67
NGA,Nigeria,456775408619.543,,3.1,,11.3,8.0,4.8,,,,27614830.07185
NIC,Nicaragua,11955466051.3827,,,,,,,,,,1528816.29335
NLD,Netherlands,890135883868.605,35.0,5.4,4.3,20.24,21.0,14.0,,,,8855000.0
NOR,Norway,472765907756.79,15.49,4.6,6.12,13.15,26.57,2.25,,17.21,14.68,2187000.0
NPL,Nepal,19856634052.5358,52.39,4.36,1.9,7.12,18.21,15.14,0.9,,,1768977.49
NRU,Nauru,125930267.741209,43.6,5.5,10.0,9.3,10.9,16.5,4.2,,,6191.7505
NZL,New Zealand,176128560656.594,28.0,4.0,4.5,37.0,7.0,8.0,1.0,11.0,,3405000.0
OMN,Oman,75054356306.8921,27.0,6.0,,24.0,15.0,21.0,,2.0,5.0,1734885.15
PAK,Pakistan,227866886765.975,30.0,6.0,4.0,20.0,13.0,9.0,2.0,2.0,14.0,30760000.0
PAN,Panama,44789036003.0978,46.4,5.8,3.8,5.7,26.3,12.0,,,,1472262.2151499998
PER,Peru,193653231881.727,50.43,3.05,2.64,21.7,7.44,10.52,1.25,,2.97,8356711.13
PHL,Philippines,284348525311.117,52.31,2.34,4.22,21.52,8.7,10.55,0.37,,,14631922.9
PLW,Palau,225308048.628884,26.0,5.0,10.0,9.0,15.0,32.0,1.0,,2.0,9426.7455
PNG,Papua New Guinea,19389192290.7468,31.0,,,42.0,16.6,10.0,,,,1000000.0
POL,Poland,572132126156.601,37.27,10.07,2.17,26.69,11.27,12.13,,0.4,,10863000.0
PRI,Puerto Rico,93028633825.9765,13.1,2.4,10.4,23.8,19.4,10.4,,,20.5,4170953.0
PRT,Portugal,231745178666.337,36.49,6.73,1.85,27.680000000000003,13.64,10.72,,0.93,1.94,4710000.0
PRY,Paraguay,26400622642.9371,,,,,,,,,,1818501.3648
PSE,West Bank and Gaza,11767216976.1681,59.1,2.4,2.7,11.5,10.1,14.2,,,,1387000.0
PYF,French Polynesia,,47.0,3.0,3.0,29.0,16.0,2.0,,,,147000.0
QAT,Qatar,170662627613.433,57.0,4.0,9.0,5.0,11.0,14.0,,,,1000990.016
ROU,Romania,200217212681.665,56.26,4.89,2.5,10.68,11.34,12.33,,2.0,,4895000.0
RUS,Russian Federation,1654433869549.64,28.41,16.82,1.83,19.03,19.7,14.21,,,,60000000.0
RWA,Rwanda,8805014648.57369,,,,,,,,,,4384969.0
SAU,Saudi Arabia,690068800000.0,45.5,4.0,5.0,2.5,27.0,11.0,,5.0,,16125700.584
SDN,Sudan,76149479952.5075,51.4,3.5,1.7,18.9,11.8,12.7,,,,2831291.0
SEN,Senegal,16833353304.076,12.0,2.0,2.0,68.0,5.0,9.0,,2.0,,2454059.25
SGP,Singapore,299170077007.701,10.51,0.93,19.12,32.3,14.86,10.58,1.96,5.5,4.26,7704300.0
SLB,Solomon Islands,900859048.929468,42.8,6.65,13.15,3.7,6.45,22.35,4.9,,,179971.964375
SLE,Sierra Leone,3355384560.27101,,,,,,,,,,610222.09
